AUTORE,TITOLO,CASA EDITRICE,GENERE,DISPONIBILITÀ
Fitzgerald Francis Scott,Tenera è la notte,Bompiani,Narrativa,
Flaubert Gustave ,Tre racconti,Mondadori,Narrativa,
Foer Jonathan Safran,Se niente importa,Guanda,Saggistica,
Foer Jonathan Safran,Possiamo salvare il mondo prima di cena,Guanda,Saggistica,
Foster Wallace David ,La scopa del sistema,Einaudi,Narrativa,
Franzen Jonathan ,Le correzioni,Einaudi,Narrativa,
Franzen Jonathan ,Purity,Einaudi,Narrativa,
French Tana ,L'intruso,Einaudi,Narrativa,
French Tana ,La somiglianza,Einaudi,Narrativa,
Fry Hannah,Hello world,Bollati Boringhieri,Saggistica,
Gay Roxane,Fame,Einaudi,Saggistica,
Gnone Elisabetta,Fairy Oak. Il segreto delle gemelle,Salani,Narrativa per bambini,
Gnone Elisabetta,Fairy Oak. L'incanto del buio,Salani,Narrativa per bambini,
Gnone Elisabetta,Fairy Oak. Il potere della luce,Salani,Narrativa per bambini,
Gottschall Jonathan,Il lato oscuro delle storie,Il Saggiatore,Saggistica,
Gramsci Antonio ,Lettere dal carcere,Einaudi,Saggistica,
Green John,Cercando Alaska,BUR,Narrativa per ragazzi,
Gresh Alain ,"Israele, Palestina",Einaudi,Saggistica,
Grossman Vasilij,Stalingrado,Adelphi,Narrativa,
Gurnah Abdulrazak,Paradiso,L'orma,Narrativa,
Haig Matt,La biblioteca di Mezzanotte,e/o,Narrativa,
Haig Matt,Vita su un pianeta nervoso,e/o,Saggistica,
Hakuzwimana Espérance ,Tutta intera,Einaudi,Narrativa,
Hamid Mohsin ,Il fondamentalista riluttante,Einaudi,Narrativa,
Hamid Mohsin ,L’ultimo uomo bianco,Einaudi,Narrativa,In prestito
Harari Yuval Noah,Homo Deus. Breve storia del futuro,Bompiani,Saggistica,
Hardinge Frances ,L’albero delle bugie,Mondadori,Narrativa per ragazzi,
Hawking Stephen W.,Dal Big Bang ai buchi neri. Breve storia dell'universo,BUR,Saggistica,
Henderson Caspar,Il libro degli esseri a malapena immaginabili,Adelphi,Saggistica,
Hickel Jason,The divide,Il Saggiatore,Saggistica,
Hornby Nick,Alta fedeltà,Guanda,Narrativa,
Houellebecq Michel,Sottomissione,Bompiani,Narrativa,
Howard Elizabeth J.,La saga dei Cazalet,Fazi,Narrativa,
Huxley Aldous ,Il mondo nuovo,Mondadori,Sci-Fi,
Ishiguro Kazuo ,Klara e il Sole,Einaudi,Narrativa,
Ishiguro Kazuo ,Non lasciarmi,Einaudi,Narrativa,
Jackson Shirley,Abbiamo sempre vissuto nel castello,Adelphi,Narrativa,
Kahneman Daniel,Pensieri lenti e veloci,Mondadori,Saggistica,
Kaur Rupi,Milk and honey,TRE60,Narrativa per ragazzi,
Kawabata Yasunari ,Bellezza e tristezza,Einaudi,Narrativa,
Keegan Claire ,Piccole cose da nulla,Einaudi,Narrativa,
Keyes Daniel,Una stanza piena di gente,Mondadori,Saggistica,
Kincaid Jamaica,Lucy,Adelphi,Narrativa,
Kinsella Sophie,I love shopping,Mondadori,Narrativa per ragazzi,
Klune T. J.,La casa sul mare celeste,Mondadori,Narrativa per ragazzi,
Knight Sam ,Ufficio premonizioni,Mondadori,Saggistica,
Kushner Rachel ,Mars Room,Einaudi,Narrativa,
Laing Olivia,Città sola,Il Saggiatore,Saggistica,
Le Guin Ursula K.,La mano sinistra nel buio,La nave di Teseo,Sci-Fi,
Le Guin Ursula K. ,La saga di Terramare,Mondadori,Fantasy,
Le Tallier Hervé,L'anomalia,La nave di Teseo,Narrativa,
Levi Primo ,La ricerca delle radici,Einaudi,Saggistica,
Littell Jonathan ,Le benevole,Einaudi,Narrativa,
Liu Cixin,Il problema dei tre corpi,Pickwick,Sci-Fi,
Liu Cixin,La materia del cosmo,Mondadori,Sci-Fi,
Lockwood Patricia ,Nessuno ne parla,Einaudi,Narrativa,
Lombardo Claire,Mai stati così felici,Bompiani,Narrativa,
Lovecracft Howard P. ,Cthulhu. I racconti del mito,Mondadori,Narrativa,
Lovecraft Howard P.,Cthulhu. I racconti del mito,Mondadori,Narrativa,
Macaione Giulio,Scirocco,Bao,Graphic novel,
MacDonald Helen ,Io e Mabel,Einaudi,Saggistica,
MacGregor Nell,La storia del mondo in 100 oggetti,Adelphi,Saggistica,
Mackintosh Sophie ,Biglietto blu,Einaudi,Narrativa,
Magris Claudio,Danubio,Garzanti,Narrativa,
Magris Claudio ,L’anello di Clarisse,Einaudi,Saggistica,
Mancuso Stefano,L'incredibile viaggio delle piante,Laterza,Saggistica,
Mancuso Stefano,La Nazione delle piante,Laterza,Saggistica,
Mancuso Stefano,La pianta del mondo,Laterza,Saggistica,
Mari Michele ,Roderick Duddle,Einaudi,Narrativa,
Mari Michele ,Fantasmagonia,Einaudi,Narrativa,
Mari Michele ,Cento poesie d’amore a Ladyhawke,Einaudi,Poesia,
Marias  Javier,Un cuore così bianco,Einaudi,Narrativa,
Maurensig Paolo,La variante di Lüneburg,Adelphi,Narrativa,
McEwan Ian ,Lezioni,Einaudi,Narrativa,
McGrath Patrick,Follia,Adelphi,Narrativa,
Mendelsohn Daniel ,Un’Odissea,Einaudi,Narrativa,
Messina Marion,Falsa partenza,La nave di Teseo,Narrativa,
Miller Madaline,Circe,Feltrinelli,Narrativa per ragazzi,
Miller Madaline,La canzone di Achille,Feltrinelli,Narrativa per ragazzi,
Mitchell David,Cloud Atlas,Pickwick,Sci-Fi,
Morton Timothy,Iperoggetti,Produzioni Nero,Saggistica,
Mouawad Wajdi,Anima,Fazi,Narrativa,
Munari Bruno,Da cosa nasce cosa,Laterza,Saggistica,
Munari Bruno,Design e comunicazione visica,Laterza,Saggistica,
Munro Alice ,La vita delle ragazze e delle donne,Einaudi,Narrativa,
Murakami Haruki ,Norwegian Wood,Einaudi,Narrativa,
Murakami Haruki ,Kafka sulla spiaggia,Einaudi,Narrativa,
Murakami Haruki ,La ragazza dello Sputnik,Einaudi,Narrativa,
Nabokov Vladimir,"Parla, ricordo",Adelphi,Saggistica,
Nafisi Azar,Leggere Lolita a Teheran,Adelphi,Narrativa,
Nashiki Kajo,Un'estate con la Strega dell'Ovest,Feltrinelli,Narrativa per ragazzi,
Nesti Fido,1984. Il graphic novel,Mondadori,Graphic novel,
Ngozi Adichie Chimamanda ,Metà di un sole giallo,Einaudi,Narrativa,
Nin Anaïs,Il delta di Venere,Bompiani,Narrativa,
O’Brien Edna ,Ragazze di campagna. La trilogia,Einaudi,Narrativa,
Orlando Francesco ,Il soprannaturale letterario,Einaudi,Saggistica,
Palacio R. J.,Wonder,Giunti,Narrativa per ragazzi,
Paniagua Esther ,Error 404,Einaudi,Saggistica,
Parrella Valeria ,Almarina,Einaudi,Narrativa,
Pastoureau Michel,Medioevo simbolico,Laterza,Saggistica,
Pastoureau Michel,Verde. Storia di un clore,Ponte alle Grazie,Saggistica,
Pavese Cesare ,La letteratura americana,Einaudi,Narrativa,
Perutz Leo,Di notte sotto il ponte di pietra,e/o,Narrativa,
Pessl Marisha ,Nevermore,Mondadori,Fantasy,
Pitzorno Bianca,Il sogno della macchina da cucire,Bompiani,Narrativa per ragazzi,
Pitzorno Bianca ,La bambinaia francese,Mondadori,Narrativa per ragazzi,
Politkovskaja Anna,La Russia di Putin,Adelphi,Saggistica,
Pollan Michael,Piante che cambiano la mente,Adelphi,Saggistica,
Pullman Philip,Queste oscure materie,Salani,Fantasy,
Pynchon Thomas ,Contro il giorno,Einaudi,Narrativa,
Quammen David,Senza respiro,Adelphi,Saggistica,
Quammen David,Spillover,Adelphi,Saggistica,
Queneau Raymond ,Piccola cosmogonia portatile,Einaudi,Poesia,
Reza Yasmina,Felici i felici,Adelphi,Narrativa,
Robins Jane ,Il magnifico Spilsbury,Einaudi,Narrativa,
Rooney Sally,"Dove sei, mondo bello",Einaudi,Narrativa,
Rooney Sally,Persone normali,Einaudi,Narrativa,
Rooney Sally ,Parlarne tra amici,Einaudi,Narrativa,
Roth Philip,Complotto contro l’America,Einaudi,Narrativa,
Rovelli Carlo,Sette brevi lezioni di fisica,Adelphi,Saggistica,
Rowling Joanne K.,Harry Potter la pietra filosofale,Salani,Fantasy,In prestito
Rowling Joanne K.,Harry Potter e la camera dei segreti,Salani,Fantasy,
Rowling Joanne K.,Harry Potter e il prigioniero di Azkaban,Salani,Fantasy,
Rowling Joanne K.,Harry Potter e il calice di fuoco,Salani,Fantasy,
Rowling Joanne K.,Harry Potter e l'Ordine della Fenice,Salani,Fantasy,
Rowling Joanne K.,Harry Potter e il Principe Mezzosangue,Salani,Fantasy,
Rowling Joanne K.,Harry Potter e i Doni della Morte,Salani,Fantasy,
Sanguineti Edoardo ,Poesia italiana del Novecento,Einaudi,Poesia,
Sanguineti Edoardo ,Quaderno di traduzioni,Einaudi,Poesia,
Sapienza  Goliarda ,L’arte della gioia,Einaudi,Narrativa,
Satrapi Maarjane,Persepolis,Rizzoli,Graphic novel,
Scaffai Niccolò ,Racconti del pianeta Terra,Einaudi,Narrativa,
Sebald Winfried G.,Austerlitz,Adelphi,Narrativa,
Simenon Georges,La camera azzurra,Adelphi,Narrativa,
Spiegelman Art,Maus,Einaudi,Graphic novel,
St. John Mandel Emily,Mare della tranquillità,La nave di Teseo,Narrativa,
Starnone Domenico ,Lacci,Einaudi,Narrativa,
Strout Elizabeth,Olive Kitteridge,Fazi,Narrativa,
Szabó Magda ,La porta,Einaudi,Narrativa,
Tartt Donna,Dio di illusioni,BUR,Narrativa per ragazzi,
Testa Annamaria,La parola immaginata,Il Saggiatore,Saggistica,
Tkarczuk Olga,Guida il tuo carro sulle ossa dei morti,Bompiani,Narrativa,
Todd Anna,After,Nord ,Narrativa per ragazzi,
Trevisan Vitaliano ,Works,Einaudi,Narrativa,
Tuil Karine,Le cose umane,La nave di Teseo,Narrativa,
Tullet Hervé,Il gioco del buio,L'Ippocampo,Narrativa per bambini,
Turner Tracey,La storia del mondo in 25 città,Nord-Sud,Saggistica,
Unger Andrea,Trattato di Moneryoner Management,Hoepli,Saggistica,
Updike John ,Il centauro,Einaudi,Narrativa,
Urrea Luis Alberto ,La casa degli angeli spezzati,Einaudi,Narrativa,
Vonnegut Kurt,Madre notte,Bompiani,Narrativa,
Wallace Marjorie,Le gemelle non parlavano,Adelphi,Saggistica,
Woolf Virginia,Una stanza tutta per sé,Feltrinelli,Saggistica,
Yong Ed,Un mondo immenso,La nave di Teseo,Saggistica,
Yu Hua,La Cina in dieci parole,Feltrinelli,Saggistica,
Zeniter Alice ,L'arte di perdere,Einaudi,Narrativa,
Zerocalcare,La profezia dell'armadillo,Bao,Graphic novel,
Dostoevskij Fëdor,Delitto e castigo,Einaudi,Narrativa,
Eco Umberto,Il nome della rosa,Bompiani,Narrativa,
Eugenides Jeffrey,Le vergini suicide,Feltrinelli,Narrativa,
Fante John,Chiedi alla polvere,Feltrinelli,Narrativa,
Faulkner William,Rumore e furia,Mondadori,Narrativa,
Ferrante Elena,L'amica geniale,E/O,Narrativa,
Fitzgerald F. Scott,Il grande Gatsby,Mondadori,Narrativa,
Follett Ken,I pilastri della Terra,Mondadori,Narrativa storica,
Ford Richard,Independence Day,Guanda,Narrativa,
Foscolo Ugo,Le ultime lettere di Jacopo Ortis,Einaudi,Narrativa,
Fowles John,Il paziente inglese,Rizzoli,Narrativa,
Franzen Jonathan,Libertà,Einaudi,Narrativa,
Gaiman Neil,American Gods,Mondadori,Fantasy,
García Márquez Gabriel,Cent'anni di solitudine,Mondadori,Narrativa,
Ginzburg Natalia,Lessico famigliare,Einaudi,Narrativa,
Gombrowicz Witold,Cosmos,Einaudi,Narrativa,
Grass Günter,Il tamburo di latta,Feltrinelli,Narrativa,
Greene Graham,Il potere e la gloria,Adelphi,Narrativa,
Guareschi Giovanni,Don Camillo e Peppone,Rizzoli,Narrativa,
Hammett Dashiell,Il mistero del falco,Mondadori,Giallo,
Hamsun Knut,Fame,Einaudi,Narrativa,
Hardy Thomas,Tess dei d'Urberville,Newton Compton,Narrativa,
Hemingway Ernest,Addio alle armi,Mondadori,Narrativa,
Hesse Hermann,Siddharta,Mondadori,Narrativa,
Huxley Aldous,Il mondo nuovo,Mondadori,Sci-Fi,
Ishiguro Kazuo,Non lasciarmi,Einaudi,Narrativa,
James Henry,Il giro di vite,Mondadori,Narrativa,
Joyce James,Ulysses,Mondadori,Narrativa,
Kafka Franz,Il processo,Einaudi,Narrativa,
Kerouac Jack,Sulla strada,Feltrinelli,Narrativa,
Kipling Rudyard,Il libro della giungla,Newton Compton,Narrativa per ragazzi,
Kundera Milan,L'insostenibile leggerezza dell'essere,Adelphi,Narrativa,
Lampedusa Giuseppe Tomasi di,Il Gattopardo,Feltrinelli,Narrativa,
Lee Harper,Il buio oltre la siepe,Feltrinelli,Narrativa,
Lev Tolstoj,Guerra e pace,Einaudi,Narrativa,
London Jack,Martin Eden,Newton Compton,Narrativa,
Lovecraft H.P.,Necronomicon,Newton Compton,Horror,
Mann Thomas,La montagna incantata,Feltrinelli,Narrativa,
Martel Yann,Life of Pi,Rizzoli,Narrativa,
Maupassant Guy de,Bel-Ami,Newton Compton,Narrativa,
Melville Herman,Moby Dick,Feltrinelli,Narrativa,
Miller Henry,Tropico del Cancro,Feltrinelli,Narrativa,
Murakami Haruki,1Q84,Einaudi,Narrativa,
Nabokov Vladimir,Lolita,Mondadori,Narrativa,
Orwell George,1984,Mondadori,Narrativa,
Pamuk Orhan,Il mio nome è rosso,Feltrinelli,Narrativa,
Pessoa Fernando,Il libro dell'inquietudine,Einaudi,Narrativa,
Pirandello Luigi,Uno, nessuno e centomila,Mondadori,Narrativa,
Poe Edgar Allan,Racconti,Giunti,Narrativa,
Proust Marcel,Alla ricerca del tempo perduto,Mondadori,Narrativa,
Pullman Philip,La bussola d'oro,Mondadori,Fantasy,
Roth Philip,Lamento di Portnoy,Mondadori,Narrativa,
Rushdie Salman,I versi satanici,Adelphi,Narrativa,
Saramago José,Cecità,Einaudi,Narrativa,
Sartre Jean-Paul,La nausea,Einaudi,Narrativa,
Saviano Roberto,Gomorra,Mondadori,Narrativa,
Shakespeare William,Macbeth,Newton Compton,Narrativa teatrale,
Silone Ignazio,Fontamara,Einaudi,Narrativa,
Sinclair Upton,La giungla,Feltrinelli,Narrativa,
Smith Zadie,On Beauty,Einaudi,Narrativa,
Stendhal,Il rosso e il nero,Newton Compton,Narrativa,
Steinbeck John,Uomini e topi,Mondadori,Narrativa,
Stoker Bram,Dracula,Newton Compton,Horror,
Swift Jonathan,I viaggi di Gulliver,Newton Compton,Narrativa,
Tolkien J.R.R.,Il Signore degli Anelli,Mondadori,Fantasy,
Tolstoj Lev,Anna Karenina,Einaudi,Narrativa,
Twain Mark,Le avventure di Tom Sawyer,Newton Compton,Narrativa per ragazzi,
Verne Jules,Ventimila leghe sotto i mari,Newton Compton,Avventura,
Voltaire,Candido,Newton Compton,Narrativa,
Wilde Oscar,Il ritratto di Dorian Gray,Feltrinelli,Narrativa,
Woolf Virginia,La signora Dalloway,Adelphi,Narrativa,
Zafón Carlos Ruiz,L'ombra del vento,Mondadori,Narrativa,
Adams Richard,Watership Down,Mondadori,Narrativa per ragazzi,
Alcott Louisa May,Piccole donne,Newton Compton,Narrativa per ragazzi,
Allende Isabel,La casa degli spiriti,Feltrinelli,Narrativa,
Ammaniti Niccolò, Io e te,Einaudi,Narrativa,
Andersen Hans Christian,Favole,Newton Compton,Narrativa per ragazzi,
Atwood Margaret,Il racconto dell'ancella,Frassinelli,Narrativa,
Austen Jane,Orgoglio e pregiudizio,Newton Compton,Narrativa,
Baldacci David,Il collezionista,Sperling & Kupfer,Thriller,
Banville John,Il mare,Guanda,Narrativa,
Barker Pat,Regeneration,Guanda,Narrativa,
Barrie J.M.,Peter Pan,Newton Compton,Narrativa per ragazzi,
Bennett Alan,Il mistero di Edwin Drood,Mondadori,Giallo,
Boccaccio Giovanni,Decameron,Newton Compton,Narrativa,
Bowen Elizabeth,L'hotel,Rizzoli,Narrativa,
Boyle T.C.,Il mondo del sonno,Feltrinelli,Narrativa,
Bradbury Ray,Fahrenheit 451,Oscar Mondadori,Sci-Fi,
Brontë Charlotte,Giorni di penitenza,Newton Compton,Narrativa,
Bulgakov Michail,Il maestro e Margherita,Einaudi,Narrativa,
Burgess Anthony,Arancia meccanica,Mondadori,Narrativa,
Burnett Frances Hodgson,Il giardino segreto,Newton Compton,Narrativa per ragazzi,
Butler Octavia E.,Parable of the Sower,E/O,Sci-Fi,
Calvino Italo,Il barone rampante,Einaudi,Narrativa,
Camus Albert,Lo straniero,Einaudi,Narrativa,
Card Orson Scott,Ender's Game,Mondadori,Sci-Fi,
Carroll Lewis,Alice nel Paese delle Meraviglie,Newton Compton,Narrativa per ragazzi,
Cervantes Saavedra Miguel de,Don Chisciotte,Newton Compton,Narrativa,
Chandler Raymond,Il grande sonno,Mondadori,Giallo,
Chekhov Anton,Racconti,Newton Compton,Narrativa,
Chopin Kate,Il risveglio,Newton Compton,Narrativa,
Christie Agatha,Dieci piccoli indiani,Mondadori,Giallo,
Clarke Arthur C.,2001: Odissea nello spazio,Oscar Mondadori,Sci-Fi,
Coelho Paulo,L'alchimista,Rizzoli,Narrativa,
Collins Suzanne,The Hunger Games,Mondadori,Fantasy,
Conrad Joseph,Cuore di tenebra,Feltrinelli,Narrativa,
Cooper James Fenimore,L'ultimo dei Mohicani,Newton Compton,Narrativa,
Crichton Michael,Jurassic Park,Superpocket,Avventura,
Cronin Justin,L'anello di fuoco,Tea,Narrativa,
Cussler Clive,Il tesoro dell'Inca,Longanesi,Thriller,
Dante Alighieri,La Divina Commedia,Newton Compton,Poesia,
De Amicis Edmondo,Cuore,Newton Compton,Narrativa per ragazzi,
DeLillo Don,Sabbia,Bompiani,Narrativa,
Dickens Charles,Grandi speranze,Newton Compton,Narrativa,
Doerr Anthony,Tutta la luce che non vediamo,Corbaccio,Narrativa,
Donne John,Poesie,Newton Compton,Poesia,
Du Maurier Daphne,Rébecca,Newton Compton,Narrativa,
Dumas Alexandre,Il conte di Montecristo,Newton Compton,Narrativa,
Eco Umberto,Baudolino,Bompiani,Narrativa,
Eliot George,Middlemarch,Newton Compton,Narrativa,
Ellis Bret Easton,American Psycho,Superpocket,Narrativa,
Endō Shūsaku,Silenzio,Einaudi,Narrativa,
Eschbach Andreas,Gli altri,TEA,Narrativa,
Eugenides Jeffrey,Le vergini suicide,Feltrinelli,Narrativa,
Fante John,Chiedi alla polvere,Feltrinelli,Narrativa,
Faulkner William,Rumore e furia,Mondadori,Narrativa,
Ferrante Elena,L'amica geniale,E/O,Narrativa,
Fitzgerald F. Scott,Il grande Gatsby,Mondadori,Narrativa,
Follett Ken,I pilastri della Terra,Mondadori,Narrativa storica,
Ford Richard,Independence Day,Guanda,Narrativa,
Foscolo Ugo,Le ultime lettere di Jacopo Ortis,Einaudi,Narrativa,
Fowles John,Il paziente inglese,Rizzoli,Narrativa,
Franzen Jonathan,Libertà,Einaudi,Narrativa,
Gaiman Neil,American Gods,Mondadori,Fantasy,
García Márquez Gabriel,Cent'anni di solitudine,Mondadori,Narrativa,
Ginzburg Natalia,Lessico famigliare,Einaudi,Narrativa,
Gombrowicz Witold,Cosmos,Einaudi,Narrativa,
Grass Günter,Il tamburo di latta,Feltrinelli,Narrativa,
Greene Graham,Il potere e la gloria,Adelphi,Narrativa,
Guareschi Giovanni,Don Camillo e Peppone,Rizzoli,Narrativa,
Hammett Dashiell,Il mistero del falco,Mondadori,Giallo,
Hamsun Knut,Fame,Einaudi,Narrativa,
Hardy Thomas,Tess dei d'Urberville,Newton Compton,Narrativa,
Hemingway Ernest,Addio alle armi,Mondadori,Narrativa,
Hesse Hermann,Siddharta,Mondadori,Narrativa,
Huxley Aldous,Il mondo nuovo,Mondadori,Sci-Fi,
Ishiguro Kazuo,Non lasciarmi,Einaudi,Narrativa,
James Henry,Il giro di vite,Mondadori,Narrativa,
Joyce James,Ulysses,Mondadori,Narrativa,
Kafka Franz,Il processo,Einaudi,Narrativa,
Kerouac Jack,Sulla strada,Feltrinelli,Narrativa,
Kipling Rudyard,Il libro della giungla,Newton Compton,Narrativa per ragazzi,
Kundera Milan,L'insostenibile leggerezza dell'essere,Adelphi,Narrativa,
Lampedusa Giuseppe Tomasi di,Il Gattopardo,Feltrinelli,Narrativa,
Lee Harper,Il buio oltre la siepe,Feltrinelli,Narrativa,
Du Maurier Daphne,Rebecca,Newton Compton,Narrativa,
Dumas Alexandre,Il conte di Montecristo,Newton Compton,Narrativa,
Eco Umberto,Baudolino,Bompiani,Narrativa,
Eliot George,Middlemarch,Newton Compton,Narrativa,
Ellis Bret Easton,American Psycho,Superpocket,Narrativa,
Endō Shūsaku,Silenzio,Einaudi,Narrativa,
Eschbach Andreas,Gli altri,TEA,Narrativa,
Eugenides Jeffrey,Le vergini suicide,Feltrinelli,Narrativa,
Fante John,Chiedi alla polvere,Feltrinelli,Narrativa,
Faulkner William,Rumore e furia,Mondadori,Narrativa,
Ferrante Elena,L'amica geniale,E/O,Narrativa,
Fitzgerald F. Scott,Il grande Gatsby,Mondadori,Narrativa,
Follett Ken,I pilastri della Terra,Mondadori,Narrativa storica,
Ford Richard,Independence Day,Guanda,Narrativa,
Foscolo Ugo,Le ultime lettere di Jacopo Ortis,Einaudi,Narrativa,
Fowles John,Il paziente inglese,Rizzoli,Narrativa,
Franzen Jonathan,Libertà,Einaudi,Narrativa,
Gaiman Neil,American Gods,Mondadori,Fantasy,
García Márquez Gabriel,Cent'anni di solitudine,Mondadori,Narrativa,
Ginzburg Natalia,Lessico famigliare,Einaudi,Narrativa,
Gombrowicz Witold,Cosmos,Einaudi,Narrativa,
Grass Günter,Il tamburo di latta,Feltrinelli,Narrativa,
Greene Graham,Il potere e la gloria,Adelphi,Narrativa,
Guareschi Giovanni,Don Camillo e Peppone,Rizzoli,Narrativa,
Hammett Dashiell,Il mistero del falco,Mondadori,Giallo,
Hamsun Knut,Fame,Einaudi,Narrativa,
Hardy Thomas,Tess dei d'Urberville,Newton Compton,Narrativa,
Hemingway Ernest,Addio alle armi,Mondadori,Narrativa,
Hesse Hermann,Siddharta,Mondadori,Narrativa,
